04jan2018,886,962.719970703125
05jan2018,961.7130126953125,980.9219970703125
06jan2018,975.75,997.719970703125
07jan2018,995.1539916992188,1041.680053710938
08jan2018,1043.010009765625,1153.170043945313
09jan2018,1158.260009765625,1148.530029296875
10jan2018,1146,1299.739990234375
11jan2018,1300.339965820313,1255.819946289063
12jan2018,1268.089965820313,1154.930053710938
13jan2018,1158.2900390625,1273.199951171875
14jan2018,1270.469970703125,1396.420043945313
15jan2018,1397.47998046875,1366.77001953125
16jan2018,1365.2099609375,1291.920043945313
17jan2018,1292.630004882813,1053.68994140625
18jan2018,1061.339965820313,1014.25
19jan2018,1016.440002441406,1036.280029296875
20jan2018,1028.819946289063,1039.099975585938
21jan2018,1044.949951171875,1155.150024414063
22jan2018,1155.680053710938,1049.579956054688
23jan2018,1055.349975585938,1003.260009765625
24jan2018,1004.169982910156,986.22900390625
25jan2018,987.4769897460938,1058.780029296875
26jan2018,1063.219970703125,1056.030029296875
27jan2018,1052.699951171875,1055.170043945313
28jan2018,1055.75,1107.069946289063
29jan2018,1111.780029296875,1246.010009765625
30jan2018,1246.699951171875,1182.359985351563
31jan2018,1184.130004882813,1071.130004882813
01feb2018,1071.089965820313,1118.31005859375
02feb2018,1119.369995117188,1036.7900390625
03feb2018,1035.77001953125,915.7849731445313
04feb2018,919.2109985351563,964.0189819335938
05feb2018,964.6669921875,834.6820068359375
06feb2018,834.9580078125,697.9509887695313
07feb2018,707.7369995117188,793.1220092773438
08feb2018,790.427978515625,757.0679931640625
09feb2018,755.843017578125,817.8070068359375
10feb2018,818.47998046875,883.864990234375
11feb2018,882.4669799804688,860.4149780273438
12feb2018,859.2880249023438,814.6599731445313
13feb2018,817.5079956054688,868.7069702148438
14feb2018,869.2930297851563,845.2579956054688
15feb2018,844.2789916992188,923.5609741210938
16feb2018,923.72802734375,936.9760131835938
17feb2018,934.7860107421875,944.2100219726563
18feb2018,944.7479858398438,974.114990234375
19feb2018,973.3489990234375,923.9210205078125
20feb2018,921.6680297851563,943.864990234375
21feb2018,943.5670166015625,895.3709716796875
22feb2018,894.135009765625,849.9710083007813
23feb2018,849.2620239257813,812.844970703125
24feb2018,811.5850219726563,864.1890258789063
25feb2018,861.593017578125,840.5150146484375
26feb2018,839.458984375,844.8099975585938
27feb2018,845.2780151367188,869.3150024414063
28feb2018,870.364990234375,878.2650146484375
01mar2018,877.9340209960938,855.198974609375
02mar2018,856.0120239257813,872.2000122070313
03mar2018,871.7639770507813,856.85302734375
04mar2018,856.7109985351563,857.2249755859375
05mar2018,856.1859741210938,866.677978515625
06mar2018,866.8460083007813,853.6840209960938
07mar2018,853.8170166015625,816.9509887695313
08mar2018,816.27099609375,752.8309936523438
09mar2018,752.5700073242188,704.5960083007813
10mar2018,702.197021484375,728.916015625
11mar2018,730.1599731445313,686.8900146484375
12mar2018,685.31201171875,723.3389892578125
13mar2018,724.406005859375,699.8309936523438
14mar2018,698.1530151367188,690.8270263671875
15mar2018,691.218994140625,614.291015625
16mar2018,614.8389892578125,611.3040161132813
17mar2018,611.7780151367188,601.666015625
18mar2018,601.677978515625,552.7789916992188
19mar2018,551.6400146484375,538.6439819335938
20mar2018,546.6259765625,556.7260131835938
21mar2018,556.7219848632813,557.1749877929688
22mar2018,559.0999755859375,561.7319946289063
23mar2018,562.10302734375,539.7020263671875
24mar2018,539.864013671875,539.6190185546875
25mar2018,542.572021484375,526.4390258789063
26mar2018,522.7030029296875,524.2869873046875
27mar2018,524.2869873046875,489.9509887695313
28mar2018,489.5899963378906,450.1159973144531
29mar2018,450.2909851074219,446.2789916992188
30mar2018,448.0750122070313,385.9679870605469
31mar2018,385.9049987792969,394.6449890136719
01apr2018,395.0039978027344,396.4570007324219
02apr2018,397.2539978027344,379.6069946289063
03apr2018,379.6990051269531,386.4249877929688
04apr2018,387.31201171875,416.8930053710938
05apr2018,416.4849853515625,380.5429992675781
06apr2018,379.9469909667969,383.2319946289063
07apr2018,382.7309875488281,370.2850036621094
08apr2018,370.3800048828125,385.3139953613281
09apr2018,385.7430114746094,400.5079956054688
10apr2018,400.8569946289063,398.5260009765625
11apr2018,399.4110107421875,414.2430114746094
12apr2018,415.0239868164063,430.5400085449219
13apr2018,430.1610107421875,492.9410095214844
14apr2018,493.1600036621094,492.7349853515625
15apr2018,492.5799865722656,501.4779968261719
16apr2018,502.8800048828125,531.7020263671875
17apr2018,532.073974609375,511.1470031738281
18apr2018,511.1449890136719,502.8940124511719
19apr2018,503.3089904785156,524.7890014648438
20apr2018,524.0380249023438,567.8889770507813
21apr2018,567.989013671875,615.718017578125
22apr2018,616.0040283203125,605.39501953125
23apr2018,606.1190185546875,621.8599853515625
24apr2018,621.198974609375,642.5479736328125
25apr2018,643.3980102539063,708.1580200195313
26apr2018,707.06201171875,615.416015625
27apr2018,618.0789794921875,662.8090209960938
28apr2018,662.1090087890625,647.031982421875
29apr2018,644.64599609375,683.677978515625
30apr2018,683.9119873046875,688.8809814453125
01may2018,689.760986328125,669.9240112304688
02may2018,670.4630126953125,673.6129760742188
03may2018,674.0750122070313,687.1489868164063
04may2018,686.5910034179688,779.5430297851563
05may2018,776.7750244140625,785.6240234375
06may2018,784.5830078125,816.1199951171875
07may2018,816.0880126953125,792.3109741210938
08may2018,793.3389892578125,753.7249755859375
09may2018,755.0089721679688,752.8569946289063
10may2018,752.9019775390625,752.2750244140625
11may2018,752.5789794921875,727.2769775390625
12may2018,727.0130004882813,679.5859985351563
13may2018,679.8770141601563,686.0479736328125
14may2018,687.1749877929688,733.4959716796875
